img_id,img_path,category,category_id,x1,y1,x2,y2
13676,UECFOOD100/1/13676.jpg,rice,0,113.0,0.0,708.0,515.0
22,UECFOOD100/1/22.jpg,rice,0,310.0,200.0,500.0,375.0
15542,UECFOOD100/1/15542.jpg,rice,0,116.0,201.0,346.0,380.0
14093,UECFOOD100/1/14093.jpg,rice,0,0.0,211.0,255.0,395.0
21,UECFOOD100/1/21.jpg,rice,0,8.0,5.0,456.0,285.0
9106,UECFOOD100/1/9106.jpg,rice,0,0.0,102.0,360.0,429.0
11197,UECFOOD100/1/11197.jpg,rice,0,256.0,187.0,400.0,330.0
13857,UECFOOD100/1/13857.jpg,rice,0,30.0,72.0,142.0,160.0
14813,UECFOOD100/1/14813.jpg,rice,0,412.0,108.0,640.0,354.0
9117,UECFOOD100/1/9117.jpg,rice,0,69.0,24.0,426.0,328.0
13327,UECFOOD100/1/13327.jpg,rice,0,244.0,165.0,451.0,375.0
85,UECFOOD100/1/85.jpg,rice,0,48.0,249.0,302.0,464.0
14051,UECFOOD100/1/14051.jpg,rice,0,0.0,306.0,265.0,555.0
14,UECFOOD100/1/14.jpg,rice,0,0.0,337.0,240.0,600.0
11732,UECFOOD100/1/11732.jpg,rice,0,305.0,170.0,491.0,341.0
11440,UECFOOD100/1/11440.jpg,rice,0,63.0,3.0,372.0,270.0
13754,UECFOOD100/1/13754.jpg,rice,0,10.0,166.0,220.0,360.0
14723,UECFOOD100/1/14723.jpg,rice,0,14.0,109.0,146.0,239.0
15894,UECFOOD100/1/15894.jpg,rice,0,0.0,157.0,213.0,382.0
15113,UECFOOD100/1/15113.jpg,rice,0,416.0,212.0,640.0,432.0
11094,UECFOOD100/1/11094.jpg,rice,0,24.0,0.0,429.0,360.0
12169,UECFOOD100/1/12169.jpg,rice,0,176.0,45.0,256.0,174.0
14350,UECFOOD100/1/14350.jpg,rice,0,116.0,220.0,425.0,488.0
10910,UECFOOD100/1/10910.jpg,rice,0,0.0,0.0,79.0,151.0
11180,UECFOOD100/1/11180.jpg,rice,0,0.0,172.0,165.0,324.0
13867,UECFOOD100/1/13867.jpg,rice,0,4.0,128.0,86.0,216.0
14746,UECFOOD100/1/14746.jpg,rice,0,20.0,0.0,580.0,480.0
11590,UECFOOD100/1/11590.jpg,rice,0,15.0,45.0,162.0,174.0
